idEvent,dateEvent,Round,Home Team,Home Score,Away Team,Away Score,Poster,Thumb
2346854,2025-09-20,Round 500,Dallas Stars,2,St. Louis Blues,1,,https://www.thesportsdb.com/images/media/event/thumb/qms2p21760899264.jpg
2286644,2025-09-21,Round 500,New Jersey Devils,3,New York Rangers,5,https://r2.thesportsdb.com/images/media/event/poster/7nqems1681781182.jpg,https://www.thesportsdb.com/images/media/event/thumb/zb3tbw1760899265.jpg
2286645,2025-09-21,Round 500,Ottawa Senators,3,Toronto Maple Leafs,4,,https://www.thesportsdb.com/images/media/event/thumb/rayksz1760899266.jpg
2286646,2025-09-21,Round 500,Nashville Predators,5,Florida Panthers,0,,https://www.thesportsdb.com/images/media/event/thumb/vdj0yv1760899267.jpg
2286647,2025-09-21,Round 500,Boston Bruins,2,Washington Capitals,5,,https://www.thesportsdb.com/images/media/event/thumb/yogr801760899268.jpg
2286648,2025-09-21,Round 500,Columbus Blue Jackets,4,St. Louis Blues,1,,https://www.thesportsdb.com/images/media/event/thumb/apa7nw1760899269.jpg
2346856,2025-09-21,Round 500,Winnipeg Jets,2,Minnesota Wild,3,,https://www.thesportsdb.com/images/media/event/thumb/c7l7oz1760899274.jpg
2286649,2025-09-21,Round 500,Los Angeles Kings,3,Anaheim Ducks,1,,https://www.thesportsdb.com/images/media/event/thumb/4xwz191760899270.jpg
2286650,2025-09-21,Round 500,Nashville Predators,5,Florida Panthers,3,,https://www.thesportsdb.com/images/media/event/thumb/2elupm1760899271.jpg
2286651,2025-09-21,Round 500,New York Islanders,2,Philadelphia Flyers,3,,https://www.thesportsdb.com/images/media/event/thumb/67xicj1760899272.jpg
2346855,2025-09-21,Round 500,Utah Mammoth,1,Colorado Avalanche,5,,https://www.thesportsdb.com/images/media/event/thumb/fcjjt41760899273.jpg
2286652,2025-09-22,Round 500,San Jose Sharks,3,Vegas Golden Knights,0,,https://www.thesportsdb.com/images/media/event/thumb/2asorn1760899275.jpg
2346857,2025-09-22,Round 500,Seattle Kraken,5,Vancouver Canucks,3,,https://www.thesportsdb.com/images/media/event/thumb/1i6cfh1760899280.jpg
2346858,2025-09-22,Round 500,Edmonton Oilers,2,Calgary Flames,3,,https://www.thesportsdb.com/images/media/event/thumb/40evqm1760899281.jpg
2346859,2025-09-22,Round 500,Calgary Flames,0,Edmonton Oilers,3,,https://www.thesportsdb.com/images/media/event/thumb/2jec2o1760899282.jpg
2346860,2025-09-22,Round 500,Colorado Avalanche,3,Utah Mammoth,2,,https://www.thesportsdb.com/images/media/event/thumb/boz1n01760899283.jpg
2286653,2025-09-22,Round 500,Carolina Hurricanes,1,Tampa Bay Lightning,2,,https://www.thesportsdb.com/images/media/event/thumb/qo9mm41760899276.jpg
2286654,2025-09-22,Round 500,Columbus Blue Jackets,0,Buffalo Sabres,4,,https://www.thesportsdb.com/images/media/event/thumb/4kl66r1760899277.jpg
2286655,2025-09-22,Round 500,Montreal Canadiens,2,Pittsburgh Penguins,1,,https://www.thesportsdb.com/images/media/event/thumb/fxmsse1760899279.jpg
2286656,2025-09-23,Round 500,Anaheim Ducks,6,Utah Mammoth,1,,https://www.thesportsdb.com/images/media/event/thumb/98r98c1760899284.jpg
2286658,2025-09-23,Round 500,New York Rangers,4,Boston Bruins,5,,https://www.thesportsdb.com/images/media/event/thumb/fihtfs1760899286.jpg
